"Sector ID","Full sector name","Sector cluster name (April 2023 onwards)","Sector cluster name (before April 2023)","name","Sub sector name","Sub sub sector name","Start date","End date"
"SL0322","Technology and smart cities : Hardware : Data centres","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Data centres","",""
"SL0323","Technology and smart cities : Hardware : Internet of things","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Internet of things","",""
"SL0324","Technology and smart cities : Hardware : Photonics","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Photonics","",""
"SL0325","Technology and smart cities : Hardware : Semiconductors","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Semiconductors","",""
"SL0326","Technology and smart cities : Hardware : Sensors","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Sensors","",""
"SL0327","Technology and smart cities : Hardware : Telecommunications and electronics systems","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Telecommunications and electronics systems","",""
"SL0349","Technology and smart cities : Software","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","","",""
"SL0329","Technology and smart cities : Software : Artificial intelligence","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Artificial intelligence","",""
"SL0330","Technology and smart cities : Software : Blockchain","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Blockchain","",""
"SL0331","Technology and smart cities : Software : Cloud services","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Cloud services","",""
"SL0332","Technology and smart cities : Software : Data analytics","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Data analytics","",""
"SL0333","Technology and smart cities : Software : Internet of things","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Internet of things","",""
"SL0334","Technology and smart cities : Software : Sensors","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Sensors","",""
"SL0335","Technology and smart cities : Software : Software as a service","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Software","Software as a service","",""
"SL0377","Technology and smart cities : Hardware : Robotics","Science and Technology","Technology and Advanced Manufacturing","Technology and smart cities","Hardware","Robotics","01/04/2021",""
"SL0337","Water","Sustainability and Infrastructure","Energy and infrastructure","Water","","","",""
"SL0338","Water : Flood resilience","Sustainability and Infrastructure","Energy and infrastructure","Water","Flood resilience","","",""
"SL0339","Water : Wastewater management","Sustainability and Infrastructure","Energy and infrastructure","Water","Wastewater management","","",""
"SL0340","Water : Water management","Sustainability and Infrastructure","Energy and infrastructure","Water","Water management","","",""
"SL0350","Water : Sewage management","Sustainability and Infrastructure","Energy and infrastructure","Water","Sewage management","","01/04/2021",""
"SL0351","Water : Digital water","Sustainability and Infrastructure","Energy and infrastructure","Water","Digital water","","01/04/2021",""
