,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,United Nations,,,,,,,,,,,
,,,Population Division,,,,,,,,,,,
,,,Department of Economic and Social Affairs,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,World Urbanization Prospects: The 2018 Revision,,,,,,,,,,,
,,,"File 1: Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,POP/DB/WUP/Rev.2018/1/F01,,,,,,,,,,,
,,,"Copyright © 2018 by United Nations, made available under a Creative Commons license CC BY 3.0 IGO: http://creativecommons.org/licenses/by/3.0/igo/",,,,,,,,,,,
,,,"Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2018). World Urbanization Prospects: The 2018 Revision, Online Edition.",,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,"Population of Urban and Rural Areas at Mid-Year (thousands) and Percentage Urban, 2018",,,,,,,,,,x
Index,"Region, subregion, country or area",Note,"Country
code",Urban,Rural,Total,Percentage urban,,,,,,,
163,Andorra,,20,   68,   9,   77, 88.1,,,,,,,
164,Bosnia and Herzegovina,,70,  1 690,  1 813,  3 504, 48.2,,,,,,,
165,Croatia,,191,  2 372,  1 793,  4 165, 56.9,,,,,,,
166,Gibraltar,,292,   35,0,   35, 100.0,,,,,,,
167,Greece,,300,  8 809,  2 333,  11 142, 79.1,,,,,,,
168,Holy See,18,336,   1,0,   1, 100.0,,,,,,,
169,Italy,,380,  41 763,  17 528,  59 291, 70.4,,,,,,,
170,Malta,,470,   409,   23,   432, 94.6,,,,,,,
171,Montenegro,,499,   420,   209,   629, 66.8,,,,,,,
172,Portugal,,620,  6 711,  3 580,  10 291, 65.2,,,,,,,
173,San Marino,,674,   33,   1,   34, 97.2,,,,,,,
174,Serbia,19,688,  4 915,  3 847,  8 762, 56.1,,,,,,,
175,Slovenia,,705,  1 135,   946,  2 081, 54.5,,,,,,,
176,Spain,20,724,  37 267,  9 130,  46 397, 80.3,,,,,,,
177,TFYR Macedonia,21,807,  1 209,   876,  2 085, 58.0,,,,,,,
178,Western Europe,,926,  154 987,  39 086,  194 073, 79.9,,,,,,,
179,Austria,,40,  5 102,  3 650,  8 752, 58.3,,,,,,,
180,Belgium,,56,  11 269,   230,  11 499, 98.0,,,,,,,
181,France,,250,  52 476,  12 757,  65 233, 80.4,,,,,,,
182,Germany,,276,  63 622,  18 671,  82 293, 77.3,,,,,,,
183,Liechtenstein,,438,   5,   33,   38, 14.3,,,,,,,
184,Luxembourg,,442,   537,   53,   590, 91.0,,,,,,,
185,Monaco,,492,   39,0,   39, 100.0,,,,,,,
186,Netherlands,,528,  15 631,  1 454,  17 084, 91.5,,,,,,,
187,Switzerland,,756,  6 305,  2 239,  8 544, 73.8,,,,,,,
188,LATIN AMERICA AND THE CARIBBEAN,,904,  526 057,  125 955,  652 012, 80.7,,,,,,,
189,Caribbean,,915,  31 493,  12 663,  44 155, 71.3,,,,,,,
190,Anguilla,,660,   15,0,   15, 100.0,,,,,,,
191,Antigua and Barbuda,,28,   25,   78,   103, 24.6,,,,,,,
192,Aruba,,533,   46,   60,   106, 43.4,,,,,,,
193,Bahamas,,44,   332,   68,   399, 83.0,,,,,,,
194,Barbados,,52,   89,   197,   286, 31.1,,,,,,,
195,British Virgin Islands,,92,   15,   17,   32, 47.7,,,,,,,
196,Caribbean Netherlands,22,535,   19,   6,   26, 74.9,,,,,,,
197,Cayman Islands,,136,   62,0,   62, 100.0,,,,,,,
198,Cuba,,192,  8 851,  2 638,  11 489, 77.0,,,,,,,
199,Curaçao,,531,   144,   18,   162, 89.1,,,,,,,
200,Dominica,,212,   52,   22,   74, 70.5,,,,,,,
201,Dominican Republic,,214,  8 823,  2 060,  10 883, 81.1,,,,,,,
202,Grenada,,308,   39,   69,   108, 36.3,,,,,,,
203,Guadeloupe,23,312,   442,   7,   449, 98.5,,,,,,,
204,Haiti,,332,  6 143,  4 970,  11 113, 55.3,,,,,,,
205,Jamaica,,388,  1 614,  1 285,  2 899, 55.7,,,,,,,
206,Martinique,,474,   343,   42,   385, 89.0,,,,,,,
207,Montserrat,,500,   0,   5,   5, 9.1,,,,,,,
208,Puerto Rico,,630,  3 424,   235,  3 659, 93.6,,,,,,,
209,Saint Kitts and Nevis,,659,   17,   39,   56, 30.8,,,,,,,
210,Saint Lucia,,662,   34,   146,   180, 18.7,,,,,,,
211,Saint Vincent and the Grenadines,,670,   58,   53,   110, 52.2,,,,,,,
212,Sint Maarten (Dutch part),,534,   41,0,   41, 100.0,,,,,,,
213,Trinidad and Tobago,,780,   730,   643,  1 373, 53.2,,,,,,,
214,Turks and Caicos Islands,,796,   33,   2,   36, 93.1,,,,,,,
215,United States Virgin Islands,,850,   100,   4,   105, 95.7,,,,,,,
216,Central America,,916,  134 212,  45 405,  179 616, 74.7,,,,,,,
217,Belize,,84,   175,   208,   382, 45.7,,,,,,,
218,Costa Rica,,188,  3 930,  1 023,  4 953, 79.3,,,,,,,
219,El Salvador,,222,  4 618,  1 794,  6 412, 72.0,,,,,,,
220,Guatemala,,320,  8 804,  8 441,  17 245, 51.1,,,,,,,
221,Honduras,,340,  5 377,  4 040,  9 417, 57.1,,,,,,,
222,Mexico,,484,  104 811,  25 948,  130 759, 80.2,,,,,,,
223,Nicaragua,,558,  3 678,  2 607,  6 285, 58.5,,,,,,,
224,Panama,,591,  2 818,  1 344,  4 163, 67.7,,,,,,,
225,South America,,931,  360 353,  67 888,  428 241, 84.1,,,,,,,
226,Argentina,,32,  41 056,  3 633,  44 689, 91.9,,,,,,,
227,Bolivia (Plurinational State of),,68,  7 786,  3 429,  11 216, 69.4,,,,,,,
228,Brazil,,76,  182 546,  28 321,  210 868, 86.6,,,,,,,
229,Chile,,152,  15 934,  2 263,  18 197, 87.6,,,,,,,
230,Colombia,,170,  39 956,  9 508,  49 465, 80.8,,,,,,,
231,Ecuador,,218,  10 762,  6 101,  16 863, 63.8,,,,,,,
232,Falkland Islands (Malvinas),24,238,   2,   1,   3, 77.7,,,,,,,
233,French Guiana,,254,   247,   43,   290, 85.3,,,,,,,
234,Guyana,,328,   208,   574,   782, 26.6,,,,,,,
235,Paraguay,,600,  4 247,  2 649,  6 897, 61.6,,,,,,,
236,Peru,,604,  25 360,  7 192,  32 552, 77.9,,,,,,,
237,Suriname,,740,   375,   193,   568, 66.1,,,,,,,
238,Uruguay,,858,  3 308,   162,  3 470, 95.3,,,,,,,
239,Venezuela (Bolivarian Republic of),,862,  28 563,  3 819,  32 381, 88.2,,,,,,,
240,NORTHERN AMERICA,,905,  298 987,  64 857,  363 844, 82.2,,,,,,,
241,Bermuda,,60,   61,0,   61, 100.0,,,,,,,
242,Canada,,124,  30 084,  6 869,  36 954, 81.4,,,,,,,
243,Greenland,,304,   49,   7,   57, 86.8,,,,,,,
244,Saint Pierre and Miquelon,,666,   6,   1,   6, 90.2,,,,,,,
245,United States of America,,840,  268 787,  57 980,  326 767, 82.3,,,,,,,
246,OCEANIA,,909,  28 129,  13 132,  41 261, 68.2,,,,,,,
247,Australia/New Zealand,,927,  25 417,  4 105,  29 522, 86.1,,,,,,,
248,Australia,25,36,  21 307,  3 465,  24 772, 86.0,,,,,,,
249,New Zealand,,554,  4 110,   639,  4 750, 86.5,,,,,,,
250,Melanesia,,928,  2 039,  8 477,  10 516, 19.4,,,,,,,
251,Fiji,,242,   513,   399,   912, 56.2,,,,,,,
